"""City"" is a required value. Please enter the city.","""Città"" è un campo obbligatorio. Inserisci un città valido.",,
"""Country"" is a required value. Please enter the country.","""Paese"" è un campo obbligatorio. Inserisci un paese valido.",,
"""Email Address"" is a required value. Please enter the email address.","""Indirizzo e-mail"" è un campo obbligatorio. Inserisci un indirizzo e-mail valido.",,
"""Email Address"" is not a valid email address.",Inserisci un indirizzo mail valido.,,
"""First Name"" is a required value. Please enter the first name.","""Nome"" è un campo obbligatorio. Inserisci un nome valido.",,
"""Last Name"" is a required value. Please enter the last name.","""Cognome"" è un campo obbligatorio. Inserisci un cognome valido.",,
"""Nickname"" is a required value. Please enter the nickname.","""Nickname"" è un campo obbligatorio. Inserisci un nickname valido.",,
"""Payment Method"" is a required value.","""Metodo Di Pagamento"" è un campo obbligatorio.",,
"""Rating"" is a required value. Please select rating.","""Valutazione"" è un valore richiesto. Seleziona valutazione.",,
"""Review"" is a required value. Please enter review.","""Rivedere"" è un valore richiesto. Inserisci il rivedere.",,
"""Shipping Method"" is a required value.","""Metodo Spedizione"" è un campo obbligatorio.",,
"""State/Province"" is a required value. Please enter the state/province.","""Stato/Provincia"" è un campo obbligatorio. Inserisci un Stato/Provincia valido.",,
"""Street Address"" is a required value. Please enter the street address.","""Indirizzo"" è un campo obbligatorio. Inserisci un Indirizzo valido.",,
"""Telephone"" is a required value. Please enter the telephone.","""Telefono"" è un campo obbligatorio. Inserisci un Telefono valido.",,
"""Zip/Postal Code"" is a required value. Please enter the zip/postal code.","""Codice postale"" è un campo obbligatorio. Inserisci un Codice postale valido.",,
"%s offers excellent, comprehensive customer service every step of the way. Before you order, make real time inquiries through use of our live chat. Once you've made a purchase, our customer service representatives are always on-hand to answer questions through our live chat. Shop with confidence and save with %s!","%s Offre un impeccabile servizio clienti completo ogni passo del cammino. Prima dell'ordine, di informarsi in tempo reale attraverso l'uso della nostra chat live. Una volta che hai fatto un acquisto, i nostri rappresentanti del servizio clienti sono sempre a disposizione per rispondere alle domande attraverso il nostro live chat. Negozio con fiducia e risparmia con %s!",,
"<a onclick=""history.go(-1); return false;"" href=""#"">Go back</a> to the previous page.","<a onclick=""history.go(-1); Return false;"" href=""#"">Tornare</a> alla pagina precedente.",,
A variety of expedited shipping methods mean there is a convenient delivery option for every budget.,Una varietà di metodi di spedizione accelerato significa che c'è una opzione di consegna conveniente per tutte le tasche.,,
About Us,Chi Siamo,,
Account Dashboard,Conto Dashboard,,
Account Information,Informazioni Account,,
Add New Address,Aggiungi Nuovo Indirizzo,,
Add to Cart,Aggiungi Al Carrello,,
Add to Compare,Aggiungi al Confronto,,
Add to Wishlist,Aggiungi alla Wishlist,,
Additional Address,Indirizzo Supplementare,,
Address Book,Rubrica,,
All Products,Tutte le prodotti,,
Apply Coupon,Applica sconto,,
Are you sure you want to delete this address?,Sei sicuro di voler cancellare questo indirizzo?,,
Availability,Disponibilità,,
Back,Indietro,,
Back to Main Product Info,Torna Alle Informazioni Principali Del Prodotto,,
Back to My Orders,Torna Alla Mia Ordini,,
Bad,Bad,,
Bestsellers,Bestseller,,
Billing Address,Indirizzo di fatturazione,,
Billing Information,Informazioni fatturazione,,
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando un account con il nostro negozio, sarete in grado di muoversi attraverso il processo di acquisto più velocemente, memorizzare indirizzi di consegna multipli, controllare e tenere traccia degli ordini nel tuo account e altro ancora.",,
Cancel,annullare,,
Cancel Coupon,Annulla Coupon,,
Cart Subtotal,Subtotale Carrello,,
Categories,Categorie,,
Categories Sitemap,Categorie Mappa Del Sito,,
Category,Categoria,,
Change Billing Address,Modifica Indirizzo Di Fatturazione,,
Change Password,Cambia Password,,
Change Shipping Address,Modifica Indirizzo Di Spedizione,,
Checkout,Cassa,,
Checkout Result,Acquista Risultato,,
City,Città,,
Class,Classe,,
Clear All,Cancella Tutto,,
Clear Shopping Cart,Carrello Cancella,,
"Click <a href=""%s"">here</a> to continue shopping.","Clicca <a href=""%s"">Qui</a> per continuare gli acquisti.",,
Color,Colore,,
Company,Azienda,,
Company Info,Informazioni Sulla Società,,
Confirm New Password,Conferma Nuova Password,,
Confirm Password,Conferma Password,,
Contact Information,Informazioni Di Contatto,,
Contact Us,Contattaci,,
Continue Shopping,Torna allo shopping,,
Convenient & Friendly Customer Service,Conveniente & amichevole servizio clienti,,
Country,Paese,,
Coupon (<span>%s</span>),Sconto(<span>%s</span>),,
"Coupon code ""%s"" is not valid.","Codice sconto ""%s"" non è valido.",,
"Coupon code ""%s"" was applied.","Codice sconto ""%s"" è stata applicata.",,
Coupon code was canceled.,Codice sconto è stato annullato.,,
Coupon Codes,Codice sconto,,
Create Account,Crei Account,,
Create an Account,Crea Un Account,,
Create New Customer Account,Crea Nuovo Account Cliente,,
Current Password,Password Attuale,,
Currently Shopping by,Attualmente Acquisti Da,,
Customer Login,Login Clienti,,
Customer Reviews,Recensioni Del Cliente,,
Customer Service,Servizio Clienti,,
Date,Data,,
Date Added: New to Old,Data Di Inserimento: A Scendere,,
Date Added: Old to New,Data Di Inserimento: A Salire,,
Default,predefiniti,,
Default Addresses,Indirizzi predefiniti,,
Default Billing Address,Indirizzo di fatturazione standard,,
Default Shipping Address,Indirizzo di spedizione standard,,
Delete Address,Elimina Indirizzo,,
Delivery,consegna,,
Description,Descrizione,,
Details,Dettagli,,
Discount,Sconto,,
Easy & Safe Online Shopping,Facile & Sicuro Shopping Online,,
Edit,Modifica,,
Edit Address,Modifica Indirizzo,,
Email Address,Indirizzo E-mail,,
Enter your coupon code if you have one.,Inserisci il tuo codice coupon se ne hai uno.,,
"Every %s product undergoes an extensive testing and quality control procedure, ensuring each and every item purchased meets global quality standards. %s offers only the highest quality products, allowing customers to shop with confidence.","Ogni %s prodotto subisce una vasta prova e la procedura di controllo della qualità, assicurando ogni articolo acquistato soddisfa gli standard di qualità a livello mondiale. %s Offre solo prodotti di altissima qualità, che permette ai clienti di acquistare con fiducia.",,
Failure,fallimento,,
Faq,Faq,,
Fast Delivery Around The Globe,Consegna veloce intorno a The Globe,,
Fax,Fax,,
Featured,Primo Piano,,
Finish,terminare,,
First Name,Nome,,
Follow these links to get you back on track!,Segui questi link per farti tornare in pista!,,
Forgot Your Password?,Hai dimenticato la password?,,
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,Da My Dashboard account si ha la possibilità di visualizzare uno snapshot della vostra attività conto recente e aggiornare le informazioni dell'account. Seleziona un link qui sotto per visualizzare o modificare le informazioni.,,
Gender,Titolo,,
General Subscription,Abbonamento Generale,,
Good,Positiva,,
Gorgeous,Magnifico,,
Grand Total,Totale complessivo,,
Grid,Griglia,,
"Have no fear, help is near! There are many ways you can get back on track with Our Store.","Non abbiate paura, l'aiuto è vicino! Ci sono molti modi si può ottenere di nuovo in pista con il nostro negozio.",,
"Hello, %s!","Ciao, %s!",,
High Quality With Global Standards,Alta qualità con i campioni globali,,
Home,Casa,,
"If you clicked on a link to get here, the link is outdated.","Se si fa clic su un link per arrivare qui, il link non è aggiornato.",,
"If you have an account with us, please log in.","Se hai già un account con noi, si prega di accedere",,
"If you typed the URL directly, please make sure the spelling is correct.","Se si digita l'URL direttamente, si prega di assicurarsi che l'ortografia sia corretta.",,
In stock,In magazzino,,
Information,Informazioni,,
Invalid login or password.,Invalid login o password.,,
Item(s),Prodotto(s),,
Items <span>%s</span> to <span>%s</span> of <span>%s</span> total,Prodotto <span>%s</span> A <span>%s</span> di <span>%s</span> totale,,
JavaScript seem to be disabled in your browser.,JavaScript sembra essere disabilitato nel tuo browser.,,
Last Name,Cognome,,
List,Listino,,
Log In,Login,,
Log Out,Disconnetti,,
Login,Accedi,,
Login or Create an Account,Accedi o registrati,,
Manage Addresses,Gestione indirizzi,,
Material,Materiale,,
More Views,Altre Viste,,
My Account,Il Mio Account,,
My Cart,Mio Carrello,,
My Cart (<span>%s</span> Items),Mio Carrello (<span>%s</span> Articoli),,
My Dashboard,Le Mie Attività,,
My Orders,I Miei Ordini,,
My Product Reviews,I Miei Ordini,,
My Recent Reviews,Le Mie Recensioni Recenti,,
Name,nome,,
Name: A to Z,Nome: Dalla A Alla Z,,
Name: Z to A,Nome: Dalla Z Alla A,,
New Address,Nuovo Indirizzo,,
New Arrivals,Nuovi Arrivi,,
New Customers,Nuovo Cliente,,
New Password,Nuova Password,,
New Products,Nuovi Prodotti,,
News,Notizie,,
Newsletter Subscriptions,Abbonamento Newsletter,,
Newsletters,Newsletters,,
Next,Prossimo,,
Nickname,Nickname,,
Not Available At This Time,Non Disponibile Al Momento,,
Num,Num,,
Order #,Ordine #,,
Order #%s - %s,Ordine #%s - %s,,
Order Date,Data dell´ordine,,
Order Information,Informazioni Sull'ordine,,
Order Items,Articolo ordinato,,
Order Review,Visualizza ordine,,
Order Status,Stato Ordini ,,
Order Total,Totale Ordine,,
Ordered: High to Low,Ordinato: Alto Al Più Basso,,
Ordered: Low to High,Ordinato: Crescente,,
Ordering,Ordinazione,,
Origin,Originali,,
Out of Stock,Esaurito,,
Page,Pagina,,
Page Not Found,Pagina Non Trovata,,
Password,Password,,
Paying,Pagare,,
Payment & Shipping,Pagamento & Spedizione,,
Payment Method,Metodo Di Pagamento,,
Pending,In attesa,,
Place Order,Ordine,,
Please make sure your passwords match.,Assicurati che le password corrispondano.,,
Please Select,Selezionare,,
Please select country,Seleziona il tuo paese,,
"Please select region, state or province","Selezionare regione, stato o provincia",,
Please specify the product's required option(s).,Si prega di specificare il prodotto's opzione desiderata(s).,,
Poor,Negativa,,
Popular Search,Advanced Search,,
Previous,Precedente,,
Price,Prezzo,,
Price: High to Low,Prezzo: Dal Più Alto Al Più Basso,,
Price: Low to High,Prezzo: Crescente,,
Privacy & Security,Privacy & Sicurezza,,
Proceed to Checkout,Procedi all'acquisto,,
Processing,lavorazione,,
Product Name,Nome Prodotto,,
Product Reviews,Recensioni Prodotto,,
Products,Prodotto,,
Products Sitemap,Procedi Alla Verifica,,
Qty,Qtà,,Quantità
Quick Overview,Introduzione Veloce,,
Rating,Valutazione,,
Recent Orders,Ultimi ordini,,
Recent Viewed,Visti di recente,,
Registered Customers,Utente registrato,,
Regular,Regolare,,
Regular Price,Prezzo Di Listino,,
Related,Related,,
Remove item,Rimuovere Voce,,
Remove This Item,Rimuovi Questo Articolo,,
Required Fields,Campi Obbligatori,,
Reset,Reset,,
Returns Policy,Diritto Di Recesso,,
Review,Recensione,,
Reviews,Recensione,,
Save,Risparmiato,Sconto,
Save in address book,Salva In Rubrica,,
Save Off,Salva Off,,
Search,Cerca,,
Search entire store here...,Cerca tra i prodotti...,,
"Search results for: ""%s""","Risultati della della ricerca per: ""%s""",,
Select a billing address from your address book or enter a new address.,Selezionare un indirizzo di fatturazione dalla tua rubrica o inserire un nuovo indirizzo.,,
Select a shipping address from your address book or enter a new address.,Selezionare un indirizzo di spedizione dalla tua rubrica o inserire un nuovo indirizzo.,,
Select Your Currency,Seleziona La Tua Valuta,,
Series,Serie,,
Ship To,Spedizione presso,,
Ship to different address,Spedisci a un indirizzo diverso,,
Ship to this address,Spedisci a questo indirizzo  ,,
Shipping & Delivery,Spese Di Spedizione E Di Consegna,,
Shipping & Handling,Sistemi Di Spedizione,,
Shipping Address,Indirizzo di consegna,,
Shipping Information,Informazioni Spedizioni,,
Shipping Method,Metodo Spedizione,,
Shop By,Acquista Per,,
Shop With Confidence & Satisfaction Guaranteed,Acquista in Sicurezza & Soddisfazione Garantita,,
Shopping Cart,Carrello,,
Shopping cart have been updated success.,Carrello Sono Stati Aggiornati Successo.,,
Shopping Cart is Empty,Carrello è vuoto!,,
"Shopping on %s is safe and secure - guaranteed! %s cares about your complete satisfaction. We offer a comprehensive return policy on all items, allowing you to shop with confidence.","Shopping su %s è sicuro e sicuro - garantito! %s si preoccupa per la vostra completa soddisfazione. Offriamo una politica di rimpatrio globale su tutti gli oggetti, che consente di acquistare con fiducia.",,
Shopping Options,Opzioni Shopping,,
Show,Mostra,,
Sign Up for Newsletter,Iscriviti alla nostra newsletter,,
Site Map,Mappa Del Sito,,
Size,Dimensione,,
Size Chart,Guida taglie,,
Sort By,Ordina per,,
Spec,Spec,,
Special Price,Prezzo Speciale,,
Specials,speciali,,
State/Province,Stato/Provincia,,
Status,Stato,,
Store Home,Home Store,,
Street Address,Indirizzo,,
Submit,Presentare,,
Submit Review,Invia Recensioni,,
Subtotal,Subtotale,,
Success,successo,,
Telephone,Telefono,,
Thank you for registering with Our Store.,Grazie per esserti registrato con il nostro negozio.,,
The account information has been saved.,Le informazioni di account sono state salvate.,,
The address has been saved.,L'indirizzo è stato salvato.,,
The minimum password length is 6.,Inserisci almeno 6 caratteri.,,
"The page you requested was not found, and we have a fine guess why.","La pagina richiesta non è stata trovata, e abbiamo un bel indovinare perché.",,
The review has been saved.,La Recensione È Stata Salvata.,,
The subscription has been saved.,L'abbonamento è stato salvato.,,
There are currently no news.,Al momento non ci sono notizie.,,
There are no products matching the selection.,Non ci sono prodotti corrispondenti alla selezione.,,
There are no sitemap matching the selection.,Non ci sono sitemap corrispondenti alla selezione.,,
"There is <a href=""%s"">%s item(s)</a> in your cart.","C'è <a href=""%s"">%s articoli(s)</a> nel tuo carrello.",,
There is already an account with this email address.,C'è già un account con questo indirizzo email.,,
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","C'è già un account con questo indirizzo email. Se si è certi che sia il vostro indirizzo di posta elettronica, <a href=""%s"">clicca qui</a> per ottenere la password e accedere al tuo account.",,
There was a security error.,Si è verificato un errore di sicurezza.,,
This good was added to your shopping cart.,Questo bene è stato aggiunto tuo carrello.,cisalfasport.it,
Unit Price,Prezzo al pezzo,,
Update Shopping Cart,Aggiornò il carrello,,
Use as My Default Billing Address,Utilizza come mio indirizzo di fatturazione standard,,
Use as My Default Shipping Address,Utilizza come mio indirizzo di consegna standard,,
Use the search bar at the top of the page to search for your products.,Utilizzare la barra di ricerca nella parte superiore della pagina per cercare i tuoi prodotti.,,
View All,Vedi tutti,,
View as,Visualizza Come,,
View Order,Vedi ordini,,
Viewed: High to Low,Visto: Alto Al Più Basso,,
Viewed: Low to High,Visto: Crescente,,
What can you do?,Cosa Si Può Fare?,,
"With a wide variety of payment options, %s offers convenience to customers worldwide. Purchasing options include major credit cards, debit cards, wire transfer, Western Union.","Con una vasta gamma di opzioni di pagamento, %s offre convenienza ai clienti in tutto il mondo. Opzioni di acquisto includono le principali carte di credito, carte di debito, bonifico bancario, Western Union.",,
Write Your Own Review,Scrivi La Tua Recensione,,
Year,Anno,,
You are currently not subscribed to any newsletter.,Attualmente non sei iscritto ad alcuna newsletter.,,
You are currently subscribed.,Sei attualmente iscritto.,,
You are now logged out,Ora si è disconnesso,,
You have logged out and will be redirected to our homepage in 5 seconds.,È stato disconnesso e verrà reindirizzato al nostro sito in 5 secondi.,,
You have no additional address entries in your address book.,Non ci sono altre voci di indirizzo nella tua rubrica.,,
You have no items in your shopping cart.,Non hai nessun articolo nel carrello.,,
You have placed no orders.,Sono state inserite nessun ordine.,,
You have submitted no reviews.,Lei Ha Presentato Recensioni.,,
You may also be interested in the following product(s),Potresti essere interessato al seguente prodotto (s),,
You must have JavaScript enabled in your browser to utilize the functionality of this website.,Youmust hanno JavaScript abilitato nel tuo browser per utilizzare le funzionalità di questo sito.,,
You will be redirected to Credit Card in a few seconds.,Sarai reindirizzato alla carta di credito in pochi secondi.,,
You will be redirected to Paypal in a few seconds.,Sarai reindirizzato a Paypal in pochi secondi.,,
Zip/Postal Code,Codice Postale / C.A.P,,
Regular,Regolare,,
All Category,Tutto Categoria,,
Payment Methods,Metodi di pagamento,,
Help,Aiuto,,
Currency,Valuta,,
My Cart (<span>%s</span>) Items,Mio Carrello (<span>%s</span>) Articoli,,
My Cart <span>%s</span> Items,Mio Carrello <span>%s</span> Articoli,,
My Cart <span>%s</span>,Mio Carrello <span>%s</span>,,
My Cart <span>%s Items</span>,Mio Carrello <span>%s Articoli</span>,,
Checkout Process,Acquista Processo,,
By <span>%s</span>,Da <span>%s</span>,,
Write a review,Scrivi una recensione,,
Model,Modello,,
Thank you for your order. The order confirm email will send within 24 hours!,Grazie per il vostro ordine. L'email di conferma dell'ordine invierà entro 24 ore!,,
"Sorry, your order didn't go through because of unauthorized card. Please make an order with different card.","Siamo spiacenti, il tuo ordine non è andato a buon fine a causa di una carta non autorizzata. Si prega di fare un ordine con carta diversa.",,
Credit Card Payment,Pagamento con carta di credito,,
Order Info,Informazioni sull'ordine,,
Order Number,Numero d'ordine,,
Order Amount,Ammontare dell'ordine,,
Card Number,Numero di carta,,
Expiration,Scadenza,,
Month,Mese,,
Pay,pagare,,
Notes,Gli appunti,,
"You are now connected to a secure payment site with certificate issued by VeriSign, Your payment details will be securely transmitted to the Bank for transaction authorization in full accordance with PCI standards.","Ora sei connesso a un sito di pagamento sicuro con certificato emesso da VeriSign, i tuoi dati di pagamento saranno trasmessi in modo sicuro alla Banca per l'autorizzazione alla transazione in piena conformità con gli standard PCI.",,
